,d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,FIPS_wikidata,State_wikidata
0,0,35005,NM,Chaves County,5,13974,Q111245,Q1522
1,1,13297,GA,Walton County,1,11385,Q498312,Q1428
2,2,13137,GA,Habersham County,6,6500,Q501096,Q1428
3,3,54017,WV,Doddridge County,9,1460,Q494081,Q1371
4,4,55055,WI,Jefferson County,4,7618,Q500958,Q1537
5,5,38065,ND,Oliver County,8,191,Q48933,Q1207
6,6,13059,GA,Clarke County,3,31950,Q112061,Q1428
7,7,36023,NY,Cortland County,4,7230,Q487610,Q1384
8,8,21109,KY,Jackson County,9,4213,Q500686,Q1603
9,9,54003,WV,Berkeley County,3,14461,Q490949,Q1371
10,10,22079,LA,Rapides Parish,3,25575,Q503870,Q1588
11,11,20037,KS,Crawford County,4,8318,Q376616,Q1558
12,12,5145,AR,White County,4,11843,N/A,Q1612
13,13,5057,AR,Hempstead County,6,4483,N/A,Q1612
14,14,20117,KS,Marshall County,7,995,Q377011,Q1558
15,15,37083,NC,Halifax County,4,13595,Q509910,Q1454
16,16,51037,VA,Charlotte County,8,2488,Q427732,Q1370
17,17,41065,OR,Wasco County,6,3624,Q495388,Q824
18,18,29067,MO,Douglas County,6,2607,Q484791,Q1581
19,19,16045,ID,Gem County,2,3042,Q494514,Q1221
20,20,38055,ND,McLean County,8,880,Q280820,Q1207
21,21,28075,MS,Lauderdale County,5,17531,Q485388,Q1494
22,22,4021,AZ,Pinal County,1,60679,N/A,Q816
23,23,45013,SC,Beaufort County,5,18326,Q495682,Q1456
24,24,47043,TN,Dickson County,1,6973,Q494815,Q1509
25,25,47079,TN,Henry County,7,6187,Q489007,Q1509
26,26,6023,CA,Humboldt County,5,26632,N/A,Q99
27,27,1035,AL,Conecuh County,9,3464,N/A,Q173
28,28,51640,VA,Galax city,6,1327,Q503000,Q1370
29,29,39175,OH,Wyandot County,7,1881,Q403319,Q1397
30,30,55073,WI,Marathon County,3,13941,Q505848,Q1537
31,31,42065,PA,Jefferson County,7,5743,Q494156,Q1400
32,32,12035,FL,Flagler County,4,11997,Q386885,Q812
33,33,12015,FL,Charlotte County,3,22087,Q488499,Q812
34,34,25019,MA,Nantucket County,7,697,Q49149,Q771
35,35,21231,KY,Wayne County,7,5390,Q502952,Q1603
36,36,13055,GA,Chattooga County,6,4716,Q486179,Q1428
37,37,35047,NM,San Miguel County,6,6856,Q487254,Q1522
38,38,42095,PA,Northampton County,2,27078,Q495658,Q1400
39,39,39013,OH,Belmont County,3,10135,Q485513,Q1397
40,40,41055,OR,Sherman County,9,208,Q303491,Q824
41,41,21187,KY,Owen County,8,1923,Q496771,Q1603
42,42,27133,MN,Rock County,6,877,Q491170,Q1527
43,43,31117,NE,McPherson County,9,60,Q485620,Q1553
44,44,8117,CO,Summit County,7,2398,N/A,Q1261
45,45,51005,VA,Alleghany County,6,2288,Q488675,Q1370
46,46,13067,GA,Cobb County,1,73446,Q484247,Q1428
47,47,32003,NV,Clark County,1,311352,Q108403,Q1227
48,48,20031,KS,Coffey County,6,861,Q376330,Q1558
49,49,11001,DC,District of Columbia,1,119778,Q61,Q3551781
50,50,22105,LA,Tangipahoa Parish,4,27350,Q504312,Q1588
51,51,31151,NE,Saline County,6,1526,Q496045,Q1553
52,52,47063,TN,Hamblen County,3,11601,Q502342,Q1509
53,53,49035,UT,Salt Lake County,2,104297,Q484556,Q829
54,54,22035,LA,East Carroll Parish,7,2686,Q505505,Q1588
55,55,21183,KY,Ohio County,6,4865,Q500663,Q1603
56,56,13123,GA,Gilmer County,6,4490,Q493054,Q1428
57,57,46093,SD,Meade County,3,2666,Q495269,Q1211
58,58,19159,IA,Ringgold County,9,696,Q485752,Q1546
59,59,42129,PA,Westmoreland County,1,34269,Q495645,Q1400
